armyPerception,civilianPerception,percentCivilianGlassesWearers,redCrossPerception,totalNumberArmy,totalNumberCivilians,totalNumberRedCross,totalZombified
1.4666015625,3.5736328125,0.099609375,2.4111328125,10,100,10,32
1.4666015625,3.5736328125,0.099609375,2.4111328125,10,100,10,10
1.4666015625,3.5736328125,0.099609375,2.4111328125,10,100,10,15
3.0166015625,2.0236328125,0.599609375,3.9611328125,10,100,10,2
3.0166015625,2.0236328125,0.599609375,3.9611328125,10,100,10,5
3.0166015625,2.0236328125,0.599609375,3.9611328125,10,100,10,4
3.0166015625,2.0236328125,0.599609375,3.9611328125,10,100,10,3
3.0166015625,2.0236328125,0.599609375,3.9611328125,10,100,10,18
3.0166015625,2.0236328125,0.599609375,3.9611328125,10,100,10,5
3.0166015625,2.0236328125,0.599609375,3.9611328125,10,100,10,3
3.0166015625,2.0236328125,0.599609375,3.9611328125,10,100,10,3
3.0166015625,2.0236328125,0.599609375,3.9611328125,10,100,10,4
3.0166015625,2.0236328125,0.599609375,3.9611328125,10,100,10,4
2.8228515625,1.8298828125,0.787109375,2.2173828125,10,100,10,6
2.8228515625,1.8298828125,0.787109375,2.2173828125,10,100,10,9
2.8228515625,1.8298828125,0.787109375,2.2173828125,10,100,10,6
2.8228515625,1.8298828125,0.787109375,2.2173828125,10,100,10,8
2.8228515625,1.8298828125,0.787109375,2.2173828125,10,100,10,11
2.8228515625,1.8298828125,0.787109375,2.2173828125,10,100,10,3
2.8228515625,1.8298828125,0.787109375,2.2173828125,10,100,10,6
2.8228515625,1.8298828125,0.787109375,2.2173828125,10,100,10,6
2.8228515625,1.8298828125,0.787109375,2.2173828125,10,100,10,5
2.8228515625,1.8298828125,0.787109375,2.2173828125,10,100,10,4
4.3728515625,3.3798828125,0.287109375,3.7673828125,10,100,10,3
4.3728515625,3.3798828125,0.287109375,3.7673828125,10,100,10,9
4.3728515625,3.3798828125,0.287109375,3.7673828125,10,100,10,5
4.3728515625,3.3798828125,0.287109375,3.7673828125,10,100,10,4
4.3728515625,3.3798828125,0.287109375,3.7673828125,10,100,10,7
